Country,Year,Transparency of government policy-making.
Nicaragua,2010,3.68228175
Nicaragua,2011,3.521429323
Nicaragua,2012,3.7193476260000002
Nicaragua,2013,3.896218123
Nicaragua,2015,3.645393255
Nigeria,2006,4.376146789
Nigeria,2007,4.091811403
Nigeria,2008,4.2314579430000006
Nigeria,2009,4.0325225
Nigeria,2010,3.5512993589999997
Nigeria,2011,4.048493806000001
Nigeria,2012,4.36258676
Nigeria,2013,3.694181064
Nigeria,2015,3.2476293610000004
Norway,2006,5.432835821
Norway,2007,5.303485043999999
Norway,2008,5.467663973
Norway,2009,5.567083202999999
Norway,2010,5.430437475
Norway,2011,5.231237148
Norway,2012,5.052528971
Norway,2013,5.095707126000001
Norway,2015,5.2786731719999995
Oman,2007,4.734567901
Oman,2008,5.097448013
Oman,2009,5.171268213
Oman,2010,4.893412092
Oman,2011,4.886697174
Oman,2012,4.985714988
Oman,2013,4.999194999999999
Oman,2015,4.545349208999999
Pakistan,2006,3.528735632
Pakistan,2007,3.539188422
Pakistan,2008,3.420282418
Pakistan,2009,3.669490044
Pakistan,2010,3.690000056
Pakistan,2011,3.6151813369999997
Pakistan,2012,3.8155800539999998
Pakistan,2013,3.671550808
Pakistan,2015,3.390071395
Panama,2006,4.120481928
Panama,2007,4.110031688
Panama,2008,4.094714709
Panama,2009,4.27293514
Panama,2010,4.544805267
Panama,2011,4.552996918
Panama,2012,4.841677357
Panama,2013,4.680737067
Panama,2015,4.215190054
Paraguay,2006,2.755813953
Paraguay,2007,2.879255086
Paraguay,2008,3.03968629
Paraguay,2009,3.4318999010000004
Paraguay,2010,3.808430402
Paraguay,2011,3.889162044
Paraguay,2012,4.080287611
Paraguay,2013,3.958546588
Paraguay,2015,3.912712387
Peru,2006,3.876923077
Peru,2007,3.813525641
Peru,2008,3.7075943060000003
Peru,2009,4.060056917
Peru,2010,4.414413337
Peru,2011,4.43619043
Peru,2012,4.051234476
Peru,2013,3.9161849089999996
Peru,2015,3.74063239
Philippines,2006,3.75
Philippines,2007,3.9746913580000003
Philippines,2008,3.844434052
Philippines,2009,3.672871489
Philippines,2010,3.56956946
Philippines,2011,3.6104938110000004
Philippines,2012,3.967097133
Philippines,2013,3.895948521
Philippines,2015,3.806112783
Poland,2006,3.426966292
Poland,2007,3.222928785
Poland,2008,2.9815792410000004
Poland,2009,3.132364253
Poland,2010,3.712542214
Poland,2011,3.986062103
Poland,2012,3.84205527
Poland,2013,3.5857979139999996
Poland,2015,3.5668481360000004
Portugal,2006,4.833333333
Portugal,2007,4.451631702
Portugal,2008,4.136422808
Portugal,2009,4.119732677
Portugal,2010,4.26320525
Portugal,2011,4.162884028
Portugal,2012,4.288242461
Portugal,2013,4.054930474
Portugal,2015,3.855257675
Puerto Rico,2007,4.033898305
Puerto Rico,2008,4.068558057
Puerto Rico,2009,4.11880356
Puerto Rico,2010,3.963793083
Puerto Rico,2011,3.738483809
Puerto Rico,2012,4.158086915
Puerto Rico,2013,4.302157861
Puerto Rico,2015,4.000780998
Qatar,2006,4.852459016
Qatar,2007,4.6913335819999995
Qatar,2008,5.024435409
Qatar,2009,5.634795326
Qatar,2010,5.311528818999999
Qatar,2011,4.846171
Qatar,2012,5.459097364
Qatar,2013,5.817920322000001
Qatar,2015,5.6712297739999995
Romania,2006,2.702970297
Romania,2007,2.807890997
Romania,2008,3.10213788
